Entity,Code,Year,Bioenergy,Geothermal,Offshore wind,Solar photovoltaic,Concentrated solar power,Hydropower,Onshore wind
Argentina,ARG,1995,,,,,,,0.09830865
Argentina,ARG,1997,,,,,,,0.050110187
Argentina,ARG,2008,,,,,,,0.1927445
Argentina,ARG,2009,,,,,,,0.10860874
Argentina,ARG,2012,,,,,,,0.12629685
Argentina,ARG,2013,,,,,,,0.12754396
Argentina,ARG,2014,,,,,,,0.11122079
Argentina,ARG,2015,,,,,,,0.10638489
Argentina,ARG,2017,,,,,,,0.11211535
Argentina,ARG,2018,,,,,,,0.07988243
Argentina,ARG,2019,,,,,,,0.07017975
Argentina,ARG,2020,,,,,,,0.07848385
Argentina,ARG,2021,,,,,,,0.07653255
Argentina,ARG,2022,,,,,,,0.055677447
Argentina,ARG,2023,,,,,,,0.10790043
Argentina,ARG,2024,,,,,,,0.0802018
Australia,AUS,1998,,,,,,,0.28553784
Australia,AUS,2000,,,,,,,0.113615416
Australia,AUS,2001,,,,,,,0.081525855
Australia,AUS,2002,,,,,,,0.109951295
Australia,AUS,2003,,,,,,,0.11015775
Australia,AUS,2004,,,,,,,0.22109775
Australia,AUS,2005,,,,,,,0.10366254
Australia,AUS,2006,,,,,,,0.09884836
Australia,AUS,2007,,,,,,,0.08690321
Australia,AUS,2008,,,,,,,0.11561385
Australia,AUS,2009,,,,,,,0.087596096
Australia,AUS,2010,,,,0.49050656,,,0.14663462
Australia,AUS,2011,,,,0.48747972,,,0.12529537
Australia,AUS,2012,,,,0.29373592,,,0.12228712
Australia,AUS,2013,,,,0.17218637,,,0.09734644
Australia,AUS,2014,,,,0.14194363,,,0.09619286
Australia,AUS,2015,,,,0.12176265,,,0.082047604
Australia,AUS,2016,,,,0.09339652,,,0.07708115
Australia,AUS,2017,,,,0.09920647,,,0.060067378
Australia,AUS,2018,,,,0.083070554,,,0.049212236
Australia,AUS,2019,,,,0.07413044,,,0.046159316
Australia,AUS,2020,,,,0.058517877,,,0.051257677
Australia,AUS,2021,,,,0.048631787,,,0.033636007
Australia,AUS,2022,,,,0.042441983,,,0.03445939
Australia,AUS,2023,,,,0.035775542,,,0.043216687
Australia,AUS,2024,,,,0.049653575,,,0.041794613
Australia,AUS,2025,,,,0.039965868,,,0.047897644
Austria,AUT,1995,,,,,,,0.17082468
Austria,AUT,1996,,,,,,,0.20122086
Austria,AUT,1998,,,,,,,0.16887864
Austria,AUT,1999,,,,,,,0.14453834
Austria,AUT,2000,,,,,,,0.10372715
Austria,AUT,2012,,,,,,,0.12528044
Austria,AUT,2013,,,,,,,0.19101085
